Colony,Nest,Trial,Coord,X,Y
17,Tube,Aggn,REF9,1014,498
17,Tube,Pre,REF1,990,936
17,Tube,Pre,REF2,844,476
17,Tube,Pre,REF3,476,622
17,Tube,Pre,REF4,326,214
17,Tube,Pre,REF5,756,74
17,Tube,Pre,REF6,1160,74
17,Tube,Pre,REF7,1578,222
17,Tube,Pre,REF8,1444,630
17,Tube,Pre,REF9,1042,478
18,Circle,Aggn,REF1,1077,914
18,Circle,Aggn,REF2,1109,869
18,Circle,Aggn,REF3,1120,827
18,Circle,Aggn,REF4,1123,785
18,Circle,Aggn,REF5,1122,745
18,Circle,Aggn,REF6,1110,702
18,Circle,Aggn,REF7,1085,655
18,Circle,Pre,REF1,1148,942
18,Circle,Pre,REF2,1180.667,894
18,Circle,Pre,REF3,1194.667,852.667
18,Circle,Pre,REF4,1198,810.667
18,Circle,Pre,REF5,1194.667,770.667
18,Circle,Pre,REF6,1184,728.667
18,Circle,Pre,REF7,1160,679.333
18,Tube,Aggn,REF1,1032,970
18,Tube,Aggn,REF2,970,783
18,Tube,Aggn,REF3,835,847
18,Tube,Aggn,REF4,765,697
18,Tube,Aggn,REF5,940,629
18,Tube,Aggn,REF6,1097,630
18,Tube,Aggn,REF7,1271,697
18,Tube,Aggn,REF8,1206,854
18,Tube,Aggn,REF9,1050,789
18,Tube,Pre,REF1,912,939
18,Tube,Pre,REF2,847,725
18,Tube,Pre,REF3,693,800
18,Tube,Pre,REF4,616,629
18,Tube,Pre,REF5,809,545
18,Tube,Pre,REF6,985,548
18,Tube,Pre,REF7,1187,622
18,Tube,Pre,REF8,1107,806
18,Tube,Pre,REF9,934,733
20,Circle,Aggn,REF1,1146,894.667
20,Circle,Aggn,REF2,1196.667,829.333
20,Circle,Aggn,REF3,1218,769.333
20,Circle,Aggn,REF4,1219.333,708
20,Circle,Aggn,REF5,1216.667,653.333
20,Circle,Aggn,REF6,1199.333,592
20,Circle,Aggn,REF7,1163.333,525.333
20,Circle,Pre,REF1,1226,952
20,Circle,Pre,REF2,1265,884
20,Circle,Pre,REF3,1289,826
20,Circle,Pre,REF4,1299,770
20,Circle,Pre,REF5,1296,711
20,Circle,Pre,REF6,1276,652
20,Circle,Pre,REF7,1241,583
20,Tube,Aggn,REF1,1002,956
20,Tube,Aggn,REF2,862,552
20,Tube,Aggn,REF3,546,680
20,Tube,Aggn,REF4,412,330
20,Tube,Aggn,REF5,794,184
20,Tube,Aggn,REF6,1146,190
20,Tube,Aggn,REF7,1528,338
20,Tube,Aggn,REF8,1400,704
20,Tube,Aggn,REF9,1038,556
20,Tube,Pre,REF1,1000,968
20,Tube,Pre,REF2,860,542
20,Tube,Pre,REF3,554,680
20,Tube,Pre,REF4,422,332
20,Tube,Pre,REF5,792,170
20,Tube,Pre,REF6,1144,184
20,Tube,Pre,REF7,1528,336
20,Tube,Pre,REF8,1394,710
20,Tube,Pre,REF9,1042,550
